Unidad,laghoras,FrecuenciaUnidad,MTBF,Tipo,Anio
1834,1524,313,23.118210862619808,General,2023
1808,1996,254,26.62992125984252,General,2023
1800,1398,265,27.7811320754717,General,2023
1805,1765,235,29.76595744680851,General,2023
1799,1097,224,34.20982142857143,General,2023
1801,1511,189,38.354497354497354,General,2023
1803,863,152,51.953947368421055,General,2023
D-2175,620,80,101.75,General,2023
D-2187,574,62,132.03225806451613,General,2023
10177,2481,42,149.5,General,2023
D-2170,649,48,168.97916666666666,General,2023
10175,3171,31,180.29032258064515,General,2023
D-2168,452,46,180.6086956521739,General,2023
10192,191,46,186.2826086956522,General,2023
10186,159,46,186.97826086956522,General,2023
D-2172,231,43,198.34883720930233,General,2023
10172,584,40,204.4,General,2023
D-2165,776,38,210.10526315789474,General,2023
10223,360,39,215.3846153846154,General,2023
D-2164,346,36,233.72222222222223,General,2023
D-2188,149,36,239.19444444444446,General,2023
10183,161,35,245.68571428571428,General,2023
D-2169,406,34,245.7058823529412,General,2023
D-2161,355,34,247.2058823529412,General,2023
10213,129,30,287.7,General,2023
10248,115,30,288.1666666666667,General,2023
10249,18,29,301.44827586206895,General,2023
10188,103,28,309.17857142857144,General,2023
10176,265,27,314.6296296296296,General,2023
10181,100,27,320.74074074074076,General,2023
10173,246,24,354.75,General,2023
10171,203,24,356.5416666666667,General,2023
10190,607,22,370.59090909090907,General,2023
10232,145,22,391.59090909090907,General,2023
10187,210,21,407.14285714285717,General,2023
10207,15,21,416.42857142857144,General,2023
10231,37,20,436.15,General,2023
10255,182,19,451.4736842105263,General,2023
10221,154,19,452.94736842105266,General,2023
10216,40,19,458.94736842105266,General,2023
10193,265,18,471.94444444444446,General,2023
10211,112,18,480.44444444444446,General,2023
10224,244,16,532.25,General,2023
10244,367,15,559.5333333333333,General,2023
10196,77,14,620.2142857142857,General,2023
10197,54,14,621.8571428571429,General,2023
10258,125,12,719.5833333333334,General,2023
10195,59,12,725.0833333333334,General,2023
10180,10,6,1458.3333333333333,General,2023
10191,230,5,1706.0,General,2023
