Unidad,laghoras,FrecuenciaUnidad,MTBF,Tipo,Anio
1803,1478,292,24.938356164383563,General,2024
1801,1906,176,38.94318181818182,General,2024
1799,954,180,43.36666666666667,General,2024
1808,1534,147,49.156462585034014,General,2024
1805,1858,133,51.89473684210526,General,2024
1800,1093,121,63.36363636363637,General,2024
1834,423,109,76.4862385321101,General,2024
D-2172,817,81,98.06172839506173,General,2024
D-2188,738,62,129.38709677419354,General,2024
10244,472,41,202.14634146341464,General,2024
D-2164,300,38,222.6315789473684,General,2024
D-2170,282,33,256.90909090909093,General,2024
D-2168,262,33,257.5151515151515,General,2024
D-2169,395,31,269.83870967741933,General,2024
10224,291,31,273.19354838709677,General,2024
10197,485,30,275.8333333333333,General,2024
10172,117,31,278.80645161290323,General,2024
D-2165,120,28,308.57142857142856,General,2024
10180,254,27,315.037037037037,General,2024
D-2175,478,26,318.53846153846155,General,2024
10181,154,25,344.24,General,2024
D-2161,101,25,346.36,General,2024
10183,447,24,346.375,General,2024
10211,246,24,354.75,General,2024
10196,108,20,432.6,General,2024
10176,215,19,449.7368421052632,General,2024
10249,78,19,456.94736842105266,General,2024
10258,196,18,475.77777777777777,General,2024
10188,133,18,479.27777777777777,General,2024
D-2187,398,17,491.88235294117646,General,2024
10186,156,17,506.11764705882354,General,2024
10221,255,16,531.5625,General,2024
10187,201,16,534.9375,General,2024
10175,27,16,545.8125,General,2024
10213,67,15,579.5333333333333,General,2024
10173,277,14,605.9285714285714,General,2024
10216,166,14,613.8571428571429,General,2024
10171,132,14,616.2857142857143,General,2024
10191,143,13,662.8461538461538,General,2024
10190,65,13,668.8461538461538,General,2024
10195,267,12,707.75,General,2024
10193,236,12,710.3333333333334,General,2024
10192,62,10,869.8,General,2024
10223,219,8,1067.625,General,2024
10177,98,8,1082.75,General,2024
10255,309,7,1207.2857142857142,General,2024
10232,70,3,2896.6666666666665,General,2024
10207,151,2,4304.5,General,2024
10231,49,2,4355.5,General,2024
10248,141,1,8619.0,General,2024
